acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0.0289,['Pink Sweat$'],0.726,165114,0.776,0,7myHieI8mFicl4gaFlo6DS,0,0,0.102,-4.661,1,Ride with Me,65,4/10/2020,0.0543,102.996,0.654,2020
0.0647,['YoungBoy Never Broke Again'],0.752,127983,0.653,1,7MYFKS7XpVz1JQDK38pr8N,0,6,0.125,-4.607,0,Knocked Off,66,2/21/2020,0.293,165.046,0.569,2020
0.347,['Anuel AA'],0.614,259250,0.746,1,7mcdgAXmb35dakBnfDIv3q,1.43E-05,10,0.0874,-3.527,0,Narcos,79,5/29/2020,0.196,168.072,0.601,2020
0.936,['Elise Ryen'],0.164,168250,0.00569,0,7map9ciIR1obUQ4dOKo9IY,0.934,9,0.0954,-35.348,1,Kritagya,67,2/21/2020,0.0445,73.934,0.163,2020
0.674,['Niall Horan'],0.589,224586,0.471,0,7LyBwug9tJgbaEzRCqtY78,0,10,0.105,-4.908,1,Put A Little Love On Me,70,3/13/2020,0.0262,95.972,0.262,2020
0.858,['The Strokes'],0.439,310373,0.323,0,7lu6YLrlB1MU7HW8DJSuPa,0.00921,10,0.146,-6.764,1,At The Door,67,4/10/2020,0.0323,116.743,0.358,2020
0.143,['Halsey'],0.591,205473,0.585,1,7lidXGPXPYLNThITAOTlkK,0,2,0.109,-6.35,1,You should be sad,86,1/17/2020,0.0277,110.94,0.324,2020
0.728,['Tate McRae'],0.445,175027,0.383,0,7l97ElWmIdVHWUaOeeU5ZC,0,0,0.387,-11.015,1,that way,74,1/24/2020,0.166,102.059,0.333,2020
0.262,['Lennon Stella'  'Charlie Puth'],0.696,160289,0.686,0,7l7SKt5BsDiiS6CjtaW1fO,0,5,0.174,-6.113,0,Summer Feelings (feat. Charlie Puth),67,5/15/2020,0.0309,115.982,0.7,2020
0.0611,['Lil Baby'  'Gunna'],0.788,177314,0.436,1,7KSSdFCBHCfq4KPzz78ghk,0,1,0.0979,-9.435,1,Heatin Up (feat. Gunna),79,2/28/2020,0.364,129.847,0.341,2020
0.305,['Junior H'],0.614,287929,0.56,1,7KoyXL9zghiNpXkb5iVDyj,4.99E-06,4,0.106,-7.68,0,Jueves 10,62,3/27/2020,0.0378,155.293,0.538,2020
0.35,['Anuel AA'],0.843,210624,0.845,0,7kOf0qHO4Rcwk6QJifZDRJ,0.00168,0,0.0527,-2.344,1,El Manual,79,5/29/2020,0.0503,126.989,0.898,2020
0.0139,['J Balvin'  'Jowell & Randy'],0.786,267347,0.866,0,7knKANgv1RmBYeGCL26bqi,0.00156,5,0.222,-1.632,0,Bonita,0,6/5/2020,0.0407,96.019,0.877,2020
